file,var,label,patterns
y9STU.sav,Y9H_ST26_6,학업스트레스(다른 학생들과 학업 성적과 관련하여 경쟁의식을 느낀다),성취|성적|내신|점수
y9STU.sav,Y9H_ST26_10,학업스트레스(성적을 위해서라면 친구 관계는 중요하지 않다),성취|성적|내신|점수
y9STU.sav,Y9H_ST26_11,학업스트레스(누가 나의 성적에 관해 이야기하면 예민하게 반응하게 된다),성취|성적|내신|점수
y9STU.sav,Y9H_ST26_12,학업스트레스(공부한 만큼 성적이 오르지 않아 답답하다),성취|성적|내신|점수
y9STU.sav,Y9H_ST26_13,학업스트레스(나의 성적에 대한 부모님의 기대가 지나치게 크다),성취|성적|내신|점수
y9STU.sav,Y9H_ST26_14,학업스트레스(점수로 나의 능력을 평가받는 것이 부담스럽다),성취|성적|내신|점수
y9STU.sav,Y9H_ST32K_1,수업태도 - 국어 (수업시간에 집중한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32K_2,수업태도 - 국어 (수업시간에 적극적으로 참여한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32K_3,수업태도 - 국어 (숙제를 꼬박꼬박 한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32K_4,수업태도 - 국어 (수업시간에 배울 내용을 미리 예습한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32K_5,수업태도 - 국어 (수업시간에 배운 것을 복습한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32E_1,수업태도 - 영어 (수업시간에 집중한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32E_2,수업태도 - 영어 (수업시간에 적극적으로 참여한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32E_3,수업태도 - 영어 (숙제를 꼬박꼬박 한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32E_4,수업태도 - 영어 (수업시간에 배울 내용을 미리 예습한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32E_5,수업태도 - 영어 (수업시간에 배운 것을 복습한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32M_1,수업태도 - 수학 (수업시간에 집중한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32M_2,수업태도 - 수학 (수업시간에 적극적으로 참여한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32M_3,수업태도 - 수학 (숙제를 꼬박꼬박 한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32M_4,수업태도 - 수학 (수업시간에 배울 내용을 미리 예습한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST32M_5,수업태도 - 수학 (수업시간에 배운 것을 복습한다),수업.*태도|태도.*수업|수업.*참여|참여.*수업|몰입
y9STU.sav,Y9H_ST34K_19,수업방법 - 평가- 국어 (선생님은 점수보다는 열심히 노력하는 과정을 중시한다),성취|성적|내신|점수
y9STU.sav,Y9H_ST34E_19,수업방법 - 평가- 영어 (선생님은 점수보다는 열심히 노력하는 과정을 중시한다),성취|성적|내신|점수
y9STU.sav,Y9H_ST34M_19,수업방법 - 평가- 수학 (선생님은 점수보다는 열심히 노력하는 과정을 중시한다),성취|성적|내신|점수
y9STU.sav,Y9H_ST35K_1,교과효능감 - 국어 (교과서에 있는 어려운 내용도 이해할 자신이 있다),효능
y9STU.sav,Y9H_ST35K_2,교과효능감 - 국어 (선생님의 수업이 복잡한 내용이라도 이해할 자신이 있다),효능
y9STU.sav,Y9H_ST35K_3,교과효능감 - 국어 (학교에서 내준 과제물을 잘 할 자신이 있다),효능
y9STU.sav,Y9H_ST35K_4,교과효능감 - 국어 (시험을 잘 볼 자신이 있다),효능
y9STU.sav,Y9H_ST35K_5,교과효능감 - 국어 (수업시간에 배운 내용을 능숙하게 사용할 자신이 있다),효능
y9STU.sav,Y9H_ST35E_1,교과효능감 - 영어 (교과서에 있는 어려운 내용도 이해할 자신이 있다),효능
y9STU.sav,Y9H_ST35E_2,교과효능감 - 영어 (선생님의 수업이 복잡한 내용이라도 이해할 자신이 있다),효능
y9STU.sav,Y9H_ST35E_3,교과효능감 - 영어 (학교에서 내준 과제물을 잘 할 자신이 있다),효능
y9STU.sav,Y9H_ST35E_4,교과효능감 - 영어 (시험을 잘 볼 자신이 있다),효능
y9STU.sav,Y9H_ST35E_5,교과효능감 - 영어 (수업시간에 배운 내용을 능숙하게 사용할 자신이 있다),효능
y9STU.sav,Y9H_ST35M_1,교과효능감 - 수학 (교과서에 있는 어려운 내용도 이해할 자신이 있다),효능
y9STU.sav,Y9H_ST35M_2,교과효능감 - 수학 (선생님의 수업이 복잡한 내용이라도 이해할 자신이 있다),효능
y9STU.sav,Y9H_ST35M_3,교과효능감 - 수학 (학교에서 내준 과제물을 잘 할 자신이 있다),효능
y9STU.sav,Y9H_ST35M_4,교과효능감 - 수학 (시험을 잘 볼 자신이 있다),효능
y9STU.sav,Y9H_ST35M_5,교과효능감 - 수학 (수업시간에 배운 내용을 능숙하게 사용할 자신이 있다),효능
y9STU.sav,Y9H_ST42,전반적인 학교 만족도,만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_1,학교만족도 (학생들의 학습능력을 잘 길러주고 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_2,학교만족도 (학생들의 특기와 적성을 잘 계발해주고 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_3,학교만족도 (학생들의 생활과 진로상담을 잘 하고 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_4,학교만족도 (학습에 불편하지 않게 교육시설과 환경을 잘 갖추고 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_5,학교만족도 (학생들의 안전을 위해 노력하고 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_6,학교만족도 (학교 급식에 만족한다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_7,학교만족도 (다양하고 창의적인 방과후학교 프로그램을 제공한다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST43_8,학교만족도 (학생들의 인권을 존중하는 문화가 있다),"문화,만족.*학교|학교.*만족|적응"
y9STU.sav,Y9H_ST44_3,방과후학교 프로그램 만족도,만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_1,학교적응 - 친구 (학교 친구들과 있을 때 마음이 편하다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_2,학교적응 - 친구 (나와 함께 놀아줄 학교 친구가 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_3,학교적응 - 친구 (학교에서 친구들로부터 많은 것을 배운다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_4,학교적응 - 친구 (모둠활동을 할 때 협조를 잘 하려고 노력한다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_5,학교적응 - 친구 (학교 친구들에게 내가 원하는 것을 솔직히 말한다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_6,학교적응 - 친구 (학교 친구가 이야기할 때 귀담아 듣는다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_7,학교적응 - 교사 (선생님들은 나에게 잘해주시려고 노력한다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_8,학교적응 - 교사 (선생님들은 나에게 관심을 갖고 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_9,학교적응 - 교사 (선생님들을 가까이 대하기가 편하다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_10,학교적응 - 교사 (고민이 있으면 상담하고 싶은 선생님이 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_11,학교적응 - 교사 (선생님들과 편하게 대화할 수 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST46_12,학교적응 - 교사 (마음을 터놓고 이야기할 수 있는 선생님이 있다),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST48_1,차별 (성적이나 지능),성취|성적|내신|점수
y9STU.sav,Y9H_ST48_2,차별 (가정의 경제수준),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST48_4,"차별 (가족형태(한부모, 조부모, 다문화 가정 등))",문화
y9STU.sav,Y9H_ST50_3,"학생들의 의견 반영(적응활동(인권교육, 장애이해교육, 안전교육, 성폭력예방교육 등))",만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST53_1_1,혁신학교 만족의 이유(첫 번째 선택 기준),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST53_1_1etc,혁신학교 만족의 이유(첫 번째 선택 기준)_기타오픈문항내용,만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST53_1_2,혁신학교 만족의 이유(두 번째 선택 기준),만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST53_1_2etc,혁신학교 만족의 이유(두 번째 선택 기준)_기타오픈문항내용,만족.*학교|학교.*만족|적응
y9STU.sav,Y9H_ST54_1,희망 직업 선택 기준 (첫 번째 선택 기준),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST54_2,희망 직업 선택 기준 (두 번째 선택 기준),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST55A9,진로진학 관련 활동 여부 (진로/직업체험 활동),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST55B9,진로진학 관련 활동 도움 정도 (진로/직업체험 활동),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST58_1,진로에 대한 계획성 (내가 원하는 직업(전공)을 갖기 위한 계획이 있다),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST58_3,진로에 대한 계획성 (나는 미래에 어떤 직업이 유망할 것인가를 생각해 본다),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST58_5,직업 태도 (직업은 단지 돈을 벌기 위한 수단일 뿐이다),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST58_6,직업 태도 (어떤 직업을 가지는가가 미래의 나의 인생에 중요한 영향을 미친다),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST58_7,직업 태도 (힘든 일이라도 내가 좋아하는 일이라면 선택할 것이다),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST58_8,직업 태도 (돈을 많이 벌 수만 있다면 어떤 직업이든 상관없다),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_1,전국연합학력평가 모의고사(5월)_ 응시여부,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_1_1,전국연합학력평가 모의고사(5월)_국어 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_1_2,전국연합학력평가 모의고사(5월)_수학 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_1_3,전국연합학력평가 모의고사(5월)_외국어(영어) 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_1_4,전국연합학력평가 모의고사(5월)_한국사 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_2,전국연합학력평가 모의고사(6월)_응시여부,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_2_1,전국연합학력평가 모의고사(6월)_국어 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_2_2,전국연합학력평가 모의고사(6월)_수학 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_2_3,전국연합학력평가 모의고사(6월)_외국어(영어) 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST60_2_4,전국연합학력평가 모의고사(6월)_한국사 등급,학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST63_1_M2,대학진학의 이유(직업에 필요한 자격을 갖추려고),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST63_1_M4,대학진학의 이유(높은 소득에 대한 기대로),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST63_1_M6,대학진학의 이유(좋은 직업 환경을 위하여),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST63_5_M1,진학하고자 하는 계열(학과)을 위한 준비(정보수집(독서활동)),도서|독서|학예회|박물관|미술관
y9STU.sav,Y9H_ST64_1_M4,취업/창업의 중요 이유(가정 경제에 보탬이 되려고),학력|교육년수|소득|직업|경제
y9STU.sav,Y9H_ST64_4_M7,취업/창업 관련 정보의 획득(직업훈련기관),학력|교육년수|소득|직업|경제
Y9P.sav,Y9H_PA2,월 평균 가구소득 (단위: 만 원),학력|교육년수|소득|직업|경제
Y9P.sav,Y9H_PA3_1,아버지(남성 보호자) 최종학력,학력|교육년수|소득|직업|경제
Y9P.sav,Y9H_PA3_2,어머니(여성 보호자) 최종학력,학력|교육년수|소득|직업|경제
Y9P.sav,Y9H_PA4_1,자녀와 함께 문화활동 (과학관이나 박람회 관람),문화
Y9P.sav,Y9H_PA4_2,자녀와 함께 문화활동 (미술관이나 박물관 관람),"문화,도서|독서|학예회|박물관|미술관"
Y9P.sav,Y9H_PA4_3,자녀와 함께 문화활동 (공연이나 음악회 관람),문화
Y9P.sav,Y9H_PA4_4,자녀와 함께 문화활동 (서점에 같이 감),문화
Y9P.sav,Y9H_PA4_5,자녀와 함께 문화활동 (캠프에 같이 감),문화
Y9P.sav,Y9H_PA4_6,자녀와 함께 문화활동 (운동경기장에 가서 운동경기를 같이 관람),문화
Y9P.sav,Y9H_PA4_7,자녀와 함께 문화활동 (국내 여행을 같이 감),문화
Y9P.sav,Y9H_PA4_8,자녀와 함께 문화활동 (해외 여행을 같이 감),문화
Y9P.sav,Y9H_PA4_9,"자녀와 함께 문화활동 (스포츠활동(등산, 자전거, 축구, 야구 등))",문화
Y9P.sav,Y9H_PA18_1_1,혁신학교 만족 이유(첫 번째 선택 기준),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA18_1_1etc,혁신학교 만족 이유(첫 번째 선택 기준)_기타 오픈 문항 내용,만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA18_1_2,혁신학교 만족 이유(두 번째 선택 기준),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA18_1_2etc,혁신학교 만족 이유(두 번째 선택 기준)_기타 오픈 문항 내용,만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA23_1,자녀의 직업 선택 기준 (첫 번째 선택 기준),학력|교육년수|소득|직업|경제
Y9P.sav,Y9H_PA23_2,자녀의 직업 선택 기준 (두 번째 선택 기준),학력|교육년수|소득|직업|경제
Y9P.sav,Y9H_PA27,전반적인 학교만족도,만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_1,학교만족도 (학생들의 학습능력을 잘 길러주고 있다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_2,학교만족도 (학생들의 특기와 적성을 잘 계발해 주고 있다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_3,학교만족도 (학생들의 생활과 진로상담을 잘 하고 있다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_4,학교만족도 (학습에 불편하지 않게 교육시설과 환경을 잘 갖추고 있다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_5,학교만족도 (학생들의 안전을 위해 노력하고 있다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_6,학교만족도 (학교 급식에 만족한다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_7,학교만족도 (다양하고 창의적인 방과후학교 프로그램을 제공한다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_8,학교만족도 (선생님들이 학생들을 가르치는 데 열의가 있다),만족.*학교|학교.*만족|적응
Y9P.sav,Y9H_PA28_9,학교만족도 (자녀의 수준에 맞게 잘 가르치고 있다),만족.*학교|학교.*만족|적응
